2025-06-03 12:28:21,848 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-06-03 12:28:21,848 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-06-03 12:28:21,850 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:28:21,850 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:28:21,850 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:28:21,852 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing embeddings
2025-06-03 12:28:21,852 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing embeddings
2025-06-03 12:28:21,852 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing embeddings
2025-06-03 12:28:21,854 | INFO     | PolicyEmbeddings | Loaded 5 documents and embeddings from FAISS storage
2025-06-03 12:28:21,854 | INFO     | PolicyEmbeddings | Loaded 5 documents and embeddings from FAISS storage
2025-06-03 12:28:21,854 | INFO     | PolicyEmbeddings | Loaded 5 documents and embeddings from FAISS storage
2025-06-03 12:28:21,855 | INFO     | PolicyEmbeddings | Embeddings already loaded and up to date
2025-06-03 12:28:21,855 | INFO     | PolicyEmbeddings | Embeddings already loaded and up to date
2025-06-03 12:28:21,855 | INFO     | PolicyEmbeddings | Embeddings already loaded and up to date
2025-06-03 12:28:27,080 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-06-03 12:28:27,080 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-06-03 12:28:27,080 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-06-03 12:38:24,568 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 12:38:34,703 | ERROR    | PolicyEmbeddings | Failed to connect to Milvus: <MilvusException: (code=2, message=Fail connecting to server on localhost:19530, illegal connection params or server unavailable)>
2025-06-03 12:38:34,804 | INFO     | PolicyEmbeddings | Milvus connection closed
2025-06-03 12:52:11,742 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:52:14,284 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 12:52:14,285 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:52:16,352 | INFO     | PolicyEmbeddings | Creating collection: policy_documents
2025-06-03 12:52:18,525 | INFO     | PolicyEmbeddings | Collection 'policy_documents' created successfully
2025-06-03 12:52:18,526 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-03 12:52:20,581 | INFO     | PolicyEmbeddings | Loaded 0 documents from Qdrant
2025-06-03 12:52:20,582 | WARNING  | PolicyEmbeddings | No documents found in Qdrant, will process files
2025-06-03 12:52:20,582 | INFO     | PolicyEmbeddings | Policy changes detected or no existing data, processing documents
2025-06-03 12:52:22,628 | INFO     | PolicyEmbeddings | Cleared existing collection: policy_documents
2025-06-03 12:52:24,686 | INFO     | PolicyEmbeddings | Creating collection: policy_documents
2025-06-03 12:52:26,853 | INFO     | PolicyEmbeddings | Collection 'policy_documents' created successfully
2025-06-03 12:52:26,854 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-06-03 12:52:28,884 | INFO     | PolicyEmbeddings | Loaded 0 documents from Qdrant
2025-06-03 12:52:28,884 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-06-03 12:52:32,926 | INFO     | PolicyEmbeddings | Created and stored 5 embeddings in Qdrant
