2025-06-05 00:07:42,803 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-05 00:09:06,801 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-05 00:21:31,435 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-05 00:57:45,045 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-05 12:29:04,786 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-05 12:32:19,314 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-05 12:34:20,035 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-05 12:36:57,164 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-05 12:38:05,252 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-05 12:43:49,913 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-05 12:46:04,248 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-05 12:48:40,223 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
