2025-05-25 19:32:21,234 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:32:48,800 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:32:48,800 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:32:48,800 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:32:49,324 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:32:49,324 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:32:49,324 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:32:56,177 | INFO     | PolicyReasoningAgent | Successfully generated explanation
2025-05-25 19:32:56,177 | INFO     | PolicyReasoningAgent | Successfully generated explanation
2025-05-25 19:32:56,177 | INFO     | PolicyReasoningAgent | Successfully generated explanation
2025-05-25 19:37:59,709 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:37:59,709 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:37:59,709 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:37:59,709 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:37:59,709 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:38:00,142 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:38:00,142 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:38:00,142 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:38:00,142 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:38:00,142 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:38:07,593 | INFO     | PolicyReasoningAgent | Successfully generated explanation
2025-05-25 19:38:07,593 | INFO     | PolicyReasoningAgent | Successfully generated explanation
2025-05-25 19:38:07,593 | INFO     | PolicyReasoningAgent | Successfully generated explanation
2025-05-25 19:38:07,593 | INFO     | PolicyReasoningAgent | Successfully generated explanation
2025-05-25 19:38:07,593 | INFO     | PolicyReasoningAgent | Successfully generated explanation
2025-05-25 19:45:06,740 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:45:06,740 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:45:06,740 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:45:06,740 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:45:06,740 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-05-25 19:45:06,740 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
