2025-06-04 13:46:01,274 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-04 13:46:20,277 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-04 14:47:04,594 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-04 14:58:30,018 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-04 15:02:01,981 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-04 15:12:49,505 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-04 15:29:34,999 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-04 15:34:57,496 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-04 16:00:27,080 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-04 16:11:11,252 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-04 16:15:14,970 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-04 17:25:02,333 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-04 17:27:54,574 | INFO     | AudioTranscriptionAgent | * Recording started
2025-06-04 17:27:59,834 | INFO     | AudioTranscriptionAgent | * Recording finished
2025-06-04 17:28:02,771 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-04 20:28:26,748 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-04 20:37:19,160 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-04 20:43:38,810 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-04 20:48:48,862 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
