2025-06-06 00:15:02,876 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 00:15:02,877 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 00:15:02,877 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 00:15:12,407 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 00:15:15,365 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 00:15:15,366 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 00:15:17,408 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 00:15:19,432 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 00:15:21,489 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 00:15:21,489 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 00:15:27,025 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 00:15:27,025 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 00:15:30,007 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 00:15:30,007 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 00:15:30,007 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 00:15:30,007 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 00:15:32,043 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 00:15:32,043 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 00:15:34,100 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 00:15:34,100 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 00:15:36,151 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 00:15:36,151 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 00:15:36,152 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
